"Step","stairs_pose_net_effb0 - epoch/test_loss","stairs_pose_net_effb0 - epoch/test_loss__MIN","stairs_pose_net_effb0 - epoch/test_loss__MAX","pumpkin_pose_net_effb0 - epoch/test_loss","pumpkin_pose_net_effb0 - epoch/test_loss__MIN","pumpkin_pose_net_effb0 - epoch/test_loss__MAX","office_pose_net_effb0 - epoch/test_loss","office_pose_net_effb0 - epoch/test_loss__MIN","office_pose_net_effb0 - epoch/test_loss__MAX","heads_pose_net_effb0 - epoch/test_loss","heads_pose_net_effb0 - epoch/test_loss__MIN","heads_pose_net_effb0 - epoch/test_loss__MAX","fire_pose_net_effb0 - epoch/test_loss","fire_pose_net_effb0 - epoch/test_loss__MIN","fire_pose_net_effb0 - epoch/test_loss__MAX","chess_pose_net_effb0 - epoch/test_loss","chess_pose_net_effb0 - epoch/test_loss__MIN","chess_pose_net_effb0 - epoch/test_loss__MAX"
"1","17.533767521381378","17.533767521381378","17.533767521381378","17.770963206887245","17.770963206887245","17.770963206887245","29.574645906686783","29.574645906686783","29.574645906686783","7.563732266426086","7.563732266426086","7.563732266426086","27.57889097929001","27.57889097929001","27.57889097929001","10.095146775245667","10.095146775245667","10.095146775245667"
"2","19.784130603075027","19.784130603075027","19.784130603075027","13.092832624912262","13.092832624912262","13.092832624912262","28.71612775325775","28.71612775325775","28.71612775325775","7.173544615507126","7.173544615507126","7.173544615507126","20.875639468431473","20.875639468431473","20.875639468431473","10.248543664813042","10.248543664813042","10.248543664813042"
"3","7.71553710103035","7.71553710103035","7.71553710103035","12.88871967792511","12.88871967792511","12.88871967792511","28.22595801949501","28.22595801949501","28.22595801949501","7.2590426206588745","7.2590426206588745","7.2590426206588745","19.806506745517254","19.806506745517254","19.806506745517254","10.129024550318718","10.129024550318718","10.129024550318718"
"4","7.873901009559631","7.873901009559631","7.873901009559631","12.693386137485504","12.693386137485504","12.693386137485504","27.763575926423073","27.763575926423073","27.763575926423073","7.3639883399009705","7.3639883399009705","7.3639883399009705","19.924470096826553","19.924470096826553","19.924470096826553","10.017746925354004","10.017746925354004","10.017746925354004"
"5","7.810583367943764","7.810583367943764","7.810583367943764","12.496665798127651","12.496665798127651","12.496665798127651","27.286732986569405","27.286732986569405","27.286732986569405","7.222823113203049","7.222823113203049","7.222823113203049","19.99256330728531","19.99256330728531","19.99256330728531","9.915267333388329","9.915267333388329","9.915267333388329"
"6","7.690350562334061","7.690350562334061","7.690350562334061","12.271514028310776","12.271514028310776","12.271514028310776","26.83934187889099","26.83934187889099","26.83934187889099","7.2104324996471405","7.2104324996471405","7.2104324996471405","19.795797109603882","19.795797109603882","19.795797109603882","9.820897988975048","9.820897988975048","9.820897988975048"
"7","7.62556192278862","7.62556192278862","7.62556192278862","12.044112831354141","12.044112831354141","12.044112831354141","26.310755848884583","26.310755848884583","26.310755848884583","7.206801950931549","7.206801950931549","7.206801950931549","19.556326642632484","19.556326642632484","19.556326642632484","9.723037734627724","9.723037734627724","9.723037734627724"
"8","7.5149543434381485","7.5149543434381485","7.5149543434381485","11.821544870734215","11.821544870734215","11.821544870734215","25.77991795539856","25.77991795539856","25.77991795539856","7.1800302267074585","7.1800302267074585","7.1800302267074585","19.380563408136368","19.380563408136368","19.380563408136368","9.635999947786331","9.635999947786331","9.635999947786331"
"9","7.397427514195442","7.397427514195442","7.397427514195442","11.634608030319214","11.634608030319214","11.634608030319214","25.23967695236206","25.23967695236206","25.23967695236206","7.154261469841003","7.154261469841003","7.154261469841003","19.21174991130829","19.21174991130829","19.21174991130829","9.547458000481129","9.547458000481129","9.547458000481129"
"10","7.316425293684006","7.316425293684006","7.316425293684006","11.42393098026514","11.42393098026514","11.42393098026514","24.609545648097992","24.609545648097992","24.609545648097992","7.105194091796875","7.105194091796875","7.105194091796875","19.01899880170822","19.01899880170822","19.01899880170822","9.456181704998016","9.456181704998016","9.456181704998016"
"11","7.227493941783905","7.227493941783905","7.227493941783905","11.235947169363499","11.235947169363499","11.235947169363499","23.95122344046831","23.95122344046831","23.95122344046831","7.062499389052391","7.062499389052391","7.062499389052391","18.854904517531395","18.854904517531395","18.854904517531395","9.372521921992302","9.372521921992302","9.372521921992302"
"12","7.155354380607605","7.155354380607605","7.155354380607605","11.056259073317051","11.056259073317051","11.056259073317051","23.221605993807316","23.221605993807316","23.221605993807316","7.030503436923027","7.030503436923027","7.030503436923027","18.659873217344284","18.659873217344284","18.659873217344284","9.280087232589722","9.280087232589722","9.280087232589722"
"13","7.069363102316856","7.069363102316856","7.069363102316856","10.83586422353983","10.83586422353983","10.83586422353983","22.4191417619586","22.4191417619586","22.4191417619586","7.000801727175713","7.000801727175713","7.000801727175713","18.46814773976803","18.46814773976803","18.46814773976803","9.189058490097523","9.189058490097523","9.189058490097523"
"14","6.989232465624809","6.989232465624809","6.989232465624809","10.636723317205906","10.636723317205906","10.636723317205906","21.493272721767426","21.493272721767426","21.493272721767426","6.953688353300095","6.953688353300095","6.953688353300095","18.256627932190895","18.256627932190895","18.256627932190895","9.100817628204823","9.100817628204823","9.100817628204823"
"15","6.879782676696777","6.879782676696777","6.879782676696777","10.458605602383614","10.458605602383614","10.458605602383614","20.591470457613468","20.591470457613468","20.591470457613468","6.915923893451691","6.915923893451691","6.915923893451691","18.068678975105286","18.068678975105286","18.068678975105286","9.016134150326252","9.016134150326252","9.016134150326252"
"16","6.818342357873917","6.818342357873917","6.818342357873917","10.25959213078022","10.25959213078022","10.25959213078022","19.64332626014948","19.64332626014948","19.64332626014948","6.878384903073311","6.878384903073311","6.878384903073311","17.854130774736404","17.854130774736404","17.854130774736404","8.935689680278301","8.935689680278301","8.935689680278301"
"17","6.754136145114899","6.754136145114899","6.754136145114899","10.094724588096142","10.094724588096142","10.094724588096142","18.554890498518944","18.554890498518944","18.554890498518944","6.843965381383896","6.843965381383896","6.843965381383896","17.617922455072403","17.617922455072403","17.617922455072403","8.856644600629807","8.856644600629807","8.856644600629807"
"18","6.642850026488304","6.642850026488304","6.642850026488304","9.895734548568726","9.895734548568726","9.895734548568726","17.531909212470055","17.531909212470055","17.531909212470055","6.810419633984566","6.810419633984566","6.810419633984566","17.38415029644966","17.38415029644966","17.38415029644966","8.774746760725975","8.774746760725975","8.774746760725975"
"19","6.5558114647865295","6.5558114647865295","6.5558114647865295","9.735025607049465","9.735025607049465","9.735025607049465","16.565234310925007","16.565234310925007","16.565234310925007","6.773074954748154","6.773074954748154","6.773074954748154","17.184085458517075","17.184085458517075","17.184085458517075","8.678220205008984","8.678220205008984","8.678220205008984"
"20","6.469324350357056","6.469324350357056","6.469324350357056","9.50641405582428","9.50641405582428","9.50641405582428","15.693281814455986","15.693281814455986","15.693281814455986","6.750547379255295","6.750547379255295","6.750547379255295","16.973671823740005","16.973671823740005","16.973671823740005","8.590326480567455","8.590326480567455","8.590326480567455"
"21","6.399407267570496","6.399407267570496","6.399407267570496","9.307874418795109","9.307874418795109","9.307874418795109","15.06923258304596","15.06923258304596","15.06923258304596","6.722477734088898","6.722477734088898","6.722477734088898","16.712247230112553","16.712247230112553","16.712247230112553","8.489849090576172","8.489849090576172","8.489849090576172"
"22","6.319675460457802","6.319675460457802","6.319675460457802","9.119741894304752","9.119741894304752","9.119741894304752","14.627817548811436","14.627817548811436","14.627817548811436","6.684105694293976","6.684105694293976","6.684105694293976","16.48965159803629","16.48965159803629","16.48965159803629","8.40438025444746","8.40438025444746","8.40438025444746"
"23","6.217241480946541","6.217241480946541","6.217241480946541","8.95828465372324","8.95828465372324","8.95828465372324","14.488313525915146","14.488313525915146","14.488313525915146","6.650520443916321","6.650520443916321","6.650520443916321","16.205643601715565","16.205643601715565","16.205643601715565","8.306777089834213","8.306777089834213","8.306777089834213"
"24","6.144597992300987","6.144597992300987","6.144597992300987","8.768600672483444","8.768600672483444","8.768600672483444","14.553175799548626","14.553175799548626","14.553175799548626","6.61549286544323","6.61549286544323","6.61549286544323","15.968164257705212","15.968164257705212","15.968164257705212","8.213254734873772","8.213254734873772","8.213254734873772"
"25","6.063451752066612","6.063451752066612","6.063451752066612","8.60238691419363","8.60238691419363","8.60238691419363","14.790318593382835","14.790318593382835","14.790318593382835","6.583029225468636","6.583029225468636","6.583029225468636","15.682835467159748","15.682835467159748","15.682835467159748","8.103077352046967","8.103077352046967","8.103077352046967"
"26","5.988926351070404","5.988926351070404","5.988926351070404","8.462077148258686","8.462077148258686","8.462077148258686","15.008903928101063","15.008903928101063","15.008903928101063","6.5433813482522964","6.5433813482522964","6.5433813482522964","15.433799989521503","15.433799989521503","15.433799989521503","8.011755034327507","8.011755034327507","8.011755034327507"
"27","5.909105196595192","5.909105196595192","5.909105196595192","8.268254160881042","8.268254160881042","8.268254160881042","15.516657717525959","15.516657717525959","15.516657717525959","6.523788586258888","6.523788586258888","6.523788586258888","15.172500759363174","15.172500759363174","15.172500759363174","7.907155022025108","7.907155022025108","7.907155022025108"
"28","5.840238958597183","5.840238958597183","5.840238958597183","8.102364741265774","8.102364741265774","8.102364741265774","16.02278457581997","16.02278457581997","16.02278457581997","6.494252428412437","6.494252428412437","6.494252428412437","14.902504734694958","14.902504734694958","14.902504734694958","7.797575198113918","7.797575198113918","7.797575198113918"
"29","5.737405747175217","5.737405747175217","5.737405747175217","7.952567517757416","7.952567517757416","7.952567517757416","16.037123024463654","16.037123024463654","16.037123024463654","6.462805420160294","6.462805420160294","6.462805420160294","14.667312018573284","14.667312018573284","14.667312018573284","7.690844781696796","7.690844781696796","7.690844781696796"
"30","5.678217992186546","5.678217992186546","5.678217992186546","7.814376898109913","7.814376898109913","7.814376898109913","16.52948857843876","16.52948857843876","16.52948857843876","6.433710381388664","6.433710381388664","6.433710381388664","14.42506118118763","14.42506118118763","14.42506118118763","7.586598113179207","7.586598113179207","7.586598113179207"
"31","5.5894214659929276","5.5894214659929276","5.5894214659929276","7.650897987186909","7.650897987186909","7.650897987186909","16.258122891187668","16.258122891187668","16.258122891187668","6.409237548708916","6.409237548708916","6.409237548708916","14.123613588511944","14.123613588511944","14.123613588511944","7.4624079540371895","7.4624079540371895","7.4624079540371895"
