"Step","stairs_pose_net_g - epoch/test_loss","stairs_pose_net_g - epoch/test_loss__MIN","stairs_pose_net_g - epoch/test_loss__MAX","pumpkin_pose_net_g - epoch/test_loss","pumpkin_pose_net_g - epoch/test_loss__MIN","pumpkin_pose_net_g - epoch/test_loss__MAX","office_pose_net_g - epoch/test_loss","office_pose_net_g - epoch/test_loss__MIN","office_pose_net_g - epoch/test_loss__MAX","heads_pose_net_g - epoch/test_loss","heads_pose_net_g - epoch/test_loss__MIN","heads_pose_net_g - epoch/test_loss__MAX","fire_pose_net_g - epoch/test_loss","fire_pose_net_g - epoch/test_loss__MIN","fire_pose_net_g - epoch/test_loss__MAX","chess_pose_net_g - epoch/test_loss","chess_pose_net_g - epoch/test_loss__MIN","chess_pose_net_g - epoch/test_loss__MAX"
"1","11.152684807777405","11.152684807777405","11.152684807777405","13.375043421983719","13.375043421983719","13.375043421983719","29.76319259405136","29.76319259405136","29.76319259405136","8.46498528122902","8.46498528122902","8.46498528122902","22.444592475891113","22.444592475891113","22.444592475891113","10.019201472401619","10.019201472401619","10.019201472401619"
"2","8.49830961227417","8.49830961227417","8.49830961227417","13.48655192553997","13.48655192553997","13.48655192553997","29.661808669567108","29.661808669567108","29.661808669567108","8.490896761417389","8.490896761417389","8.490896761417389","21.608556509017944","21.608556509017944","21.608556509017944","9.967694990336895","9.967694990336895","9.967694990336895"
"3","7.782709687948227","7.782709687948227","7.782709687948227","13.38421282172203","13.38421282172203","13.38421282172203","29.639084309339523","29.639084309339523","29.639084309339523","8.319338023662567","8.319338023662567","8.319338023662567","21.1199811398983","21.1199811398983","21.1199811398983","9.907854817807674","9.907854817807674","9.907854817807674"
"4","7.573625981807709","7.573625981807709","7.573625981807709","13.259726636111736","13.259726636111736","13.259726636111736","29.600869044661522","29.600869044661522","29.600869044661522","8.10468652844429","8.10468652844429","8.10468652844429","20.849814034998417","20.849814034998417","20.849814034998417","9.851216331124306","9.851216331124306","9.851216331124306"
"5","7.5312569588422775","7.5312569588422775","7.5312569588422775","13.161677658557892","13.161677658557892","13.161677658557892","29.56172277033329","29.56172277033329","29.56172277033329","7.907360658049583","7.907360658049583","7.907360658049583","20.687372252345085","20.687372252345085","20.687372252345085","9.80867338180542","9.80867338180542","9.80867338180542"
"6","7.512615337967873","7.512615337967873","7.512615337967873","13.067364938557148","13.067364938557148","13.067364938557148","29.52897335588932","29.52897335588932","29.52897335588932","7.76214325428009","7.76214325428009","7.76214325428009","20.59033028781414","20.59033028781414","20.59033028781414","9.774105004966259","9.774105004966259","9.774105004966259"
"7","7.485563039779663","7.485563039779663","7.485563039779663","12.991296909749508","12.991296909749508","12.991296909749508","29.498732030391693","29.498732030391693","29.498732030391693","7.664994478225708","7.664994478225708","7.664994478225708","20.525770358741283","20.525770358741283","20.525770358741283","9.745138794183731","9.745138794183731","9.745138794183731"
"8","7.450527995824814","7.450527995824814","7.450527995824814","12.914438784122467","12.914438784122467","12.914438784122467","29.470904126763344","29.470904126763344","29.470904126763344","7.598403796553612","7.598403796553612","7.598403796553612","20.475696317851543","20.475696317851543","20.475696317851543","9.718131445348263","9.718131445348263","9.718131445348263"
"9","7.414338693022728","7.414338693022728","7.414338693022728","12.845029205083847","12.845029205083847","12.845029205083847","29.44374769926071","29.44374769926071","29.44374769926071","7.552586406469345","7.552586406469345","7.552586406469345","20.433909863233566","20.433909863233566","20.433909863233566","9.692679651081562","9.692679651081562","9.692679651081562"
"10","7.384900897741318","7.384900897741318","7.384900897741318","12.772649072110653","12.772649072110653","12.772649072110653","29.41840521991253","29.41840521991253","29.41840521991253","7.519387811422348","7.519387811422348","7.519387811422348","20.39392814040184","20.39392814040184","20.39392814040184","9.66921617090702","9.66921617090702","9.66921617090702"
