"Step","stairs_pose_net_g - epoch/test_rotation_loss","stairs_pose_net_g - epoch/test_rotation_loss__MIN","stairs_pose_net_g - epoch/test_rotation_loss__MAX","pumpkin_pose_net_g - epoch/test_rotation_loss","pumpkin_pose_net_g - epoch/test_rotation_loss__MIN","pumpkin_pose_net_g - epoch/test_rotation_loss__MAX","office_pose_net_g - epoch/test_rotation_loss","office_pose_net_g - epoch/test_rotation_loss__MIN","office_pose_net_g - epoch/test_rotation_loss__MAX","heads_pose_net_g - epoch/test_rotation_loss","heads_pose_net_g - epoch/test_rotation_loss__MIN","heads_pose_net_g - epoch/test_rotation_loss__MAX","fire_pose_net_g - epoch/test_rotation_loss","fire_pose_net_g - epoch/test_rotation_loss__MIN","fire_pose_net_g - epoch/test_rotation_loss__MAX","chess_pose_net_g - epoch/test_rotation_loss","chess_pose_net_g - epoch/test_rotation_loss__MIN","chess_pose_net_g - epoch/test_rotation_loss__MAX"
"1","0.02059191296575591","0.02059191296575591","0.02059191296575591","0.025484735961072147","0.025484735961072147","0.025484735961072147","0.058053680491866544","0.058053680491866544","0.058053680491866544","0.016697486222255975","0.016697486222255975","0.016697486222255975","0.04396529131918214","0.04396529131918214","0.04396529131918214","0.019178037546225823","0.019178037546225823","0.019178037546225823"
"2","0.015398129151435569","0.015398129151435569","0.015398129151435569","0.025904216963681392","0.025904216963681392","0.025904216963681392","0.05824596312595531","0.05824596312595531","0.05824596312595531","0.016757034929469228","0.016757034929469228","0.016757034929469228","0.04235912565491162","0.04235912565491162","0.04235912565491162","0.019188185353414156","0.019188185353414156","0.019188185353414156"
"3","0.014113796423771419","0.014113796423771419","0.014113796423771419","0.02584487322019413","0.02584487322019413","0.02584487322019413","0.05840994865866378","0.05840994865866378","0.05840994865866378","0.016420170955825597","0.016420170955825597","0.016420170955825597","0.04144773169537075","0.04144773169537075","0.04144773169537075","0.01915259100496769","0.01915259100496769","0.01915259100496769"
"4","0.013830182797391899","0.013830182797391899","0.013830182797391899","0.02570030390052125","0.02570030390052125","0.02570030390052125","0.058446478768019006","0.058446478768019006","0.058446478768019006","0.015996027446817607","0.015996027446817607","0.015996027446817607","0.0409639076970052","0.0409639076970052","0.0409639076970052","0.019096325559075922","0.019096325559075922","0.019096325559075922"
"5","0.013862936903024092","0.013862936903024092","0.013862936903024092","0.025579555585864","0.025579555585864","0.025579555585864","0.05842909950297326","0.05842909950297326","0.05842909950297326","0.015605946187861264","0.015605946187861264","0.015605946187861264","0.04068565175111871","0.04068565175111871","0.04068565175111871","0.019049408670980483","0.019049408670980483","0.019049408670980483"
"6","0.013924248065450229","0.013924248065450229","0.013924248065450229","0.025445970037253574","0.025445970037253574","0.025445970037253574","0.058396438718773425","0.058396438718773425","0.058396438718773425","0.01532060417230241","0.01532060417230241","0.01532060417230241","0.0405304162268294","0.0405304162268294","0.0405304162268294","0.019006046713911928","0.019006046713911928","0.019006046713911928"
"7","0.01395257811236661","0.01395257811236661","0.01395257811236661","0.025334348771139048","0.025334348771139048","0.025334348771139048","0.058353837550384924","0.058353837550384924","0.058353837550384924","0.015130122541449964","0.015130122541449964","0.015130122541449964","0.04043370045837946","0.04043370045837946","0.04043370045837946","0.01896564725029748","0.01896564725029748","0.01896564725029748"
"8","0.013951919812825508","0.013951919812825508","0.013951919812825508","0.02521087200148031","0.02521087200148031","0.02521087200148031","0.058308005769504234","0.058308005769504234","0.058308005769504234","0.014999891311163083","0.014999891311163083","0.014999891311163083","0.04036080796504393","0.04036080796504393","0.04036080796504393","0.01892348907131236","0.01892348907131236","0.01892348907131236"
"9","0.013938098374637775","0.013938098374637775","0.013938098374637775","0.025094924378208816","0.025094924378208816","0.025094924378208816","0.05825916977482848","0.05825916977482848","0.05825916977482848","0.014910362660884857","0.014910362660884857","0.014910362660884857","0.04030017516925","0.04030017516925","0.04030017516925","0.018880827221437357","0.018880827221437357","0.018880827221437357"
"10","0.013928668064181693","0.013928668064181693","0.013928668064181693","0.02496748822159134","0.02496748822159134","0.02496748822159134","0.0582115902507212","0.0582115902507212","0.0582115902507212","0.01484531065216288","0.01484531065216288","0.01484531065216288","0.04023965762462467","0.04023965762462467","0.04023965762462467","0.01883960583654698","0.01883960583654698","0.01883960583654698"
"11","0.01392065262189135","0.01392065262189135","0.01392065262189135","0.024843411258189008","0.024843411258189008","0.024843411258189008","0.05816805441281758","0.05816805441281758","0.05816805441281758","0.01479430659674108","0.01479430659674108","0.01479430659674108","0.04017947589454707","0.04017947589454707","0.04017947589454707","0.018800293546519242","0.018800293546519242","0.018800293546519242"
"12","0.013908877284848131","0.013908877284848131","0.013908877284848131","0.024718404951272532","0.024718404951272532","0.024718404951272532","0.05812550900736824","0.05812550900736824","0.05812550900736824","0.014753982482943684","0.014753982482943684","0.014753982482943684","0.04011237472877838","0.04011237472877838","0.04011237472877838","0.018760505990940146","0.018760505990940146","0.018760505990940146"
