"Step","stairs_pose_net_mobv3s - epoch/test_rotation_loss","stairs_pose_net_mobv3s - epoch/test_rotation_loss__MIN","stairs_pose_net_mobv3s - epoch/test_rotation_loss__MAX","pumpkin_pose_net_mobv3s - epoch/test_rotation_loss","pumpkin_pose_net_mobv3s - epoch/test_rotation_loss__MIN","pumpkin_pose_net_mobv3s - epoch/test_rotation_loss__MAX","office_pose_net_mobv3s - epoch/test_rotation_loss","office_pose_net_mobv3s - epoch/test_rotation_loss__MIN","office_pose_net_mobv3s - epoch/test_rotation_loss__MAX","heads_pose_net_mobv3s - epoch/test_rotation_loss","heads_pose_net_mobv3s - epoch/test_rotation_loss__MIN","heads_pose_net_mobv3s - epoch/test_rotation_loss__MAX","fire_pose_net_mobv3s - epoch/test_rotation_loss","fire_pose_net_mobv3s - epoch/test_rotation_loss__MIN","fire_pose_net_mobv3s - epoch/test_rotation_loss__MAX","chess_pose_net_mobv3s - epoch/test_rotation_loss","chess_pose_net_mobv3s - epoch/test_rotation_loss__MIN","chess_pose_net_mobv3s - epoch/test_rotation_loss__MAX"
"1","0.016495026531629264","0.016495026531629264","0.016495026531629264","0.02351403873763047","0.02351403873763047","0.02351403873763047","0.05719641345785931","0.05719641345785931","0.05719641345785931","0.026383160497061908","0.026383160497061908","0.026383160497061908","0.046452504058834165","0.046452504058834165","0.046452504058834165","0.019806250813417137","0.019806250813417137","0.019806250813417137"
"2","0.01328480918891728","0.01328480918891728","0.01328480918891728","0.0248683486279333","0.0248683486279333","0.0248683486279333","0.056645856937393546","0.056645856937393546","0.056645856937393546","0.02464665041770786","0.02464665041770786","0.02464665041770786","0.044896062870975584","0.044896062870975584","0.044896062870975584","0.01941461328533478","0.01941461328533478","0.01941461328533478"
"3","0.014514134876662865","0.014514134876662865","0.014514134876662865","0.0248887656343868","0.0248887656343868","0.0248887656343868","0.05621381045784801","0.05621381045784801","0.05621381045784801","0.019989676889963448","0.019989676889963448","0.019989676889963448","0.04275942959066015","0.04275942959066015","0.04275942959066015","0.019358767953235656","0.019358767953235656","0.019358767953235656"
"4","0.015776477404870093","0.015776477404870093","0.015776477404870093","0.024320012395037338","0.024320012395037338","0.024320012395037338","0.05611606055754237","0.05611606055754237","0.05611606055754237","0.017080742050893605","0.017080742050893605","0.017080742050893605","0.041697630542330444","0.041697630542330444","0.041697630542330444","0.019312628981424496","0.019312628981424496","0.019312628981424496"
"5","0.016669285658281296","0.016669285658281296","0.016669285658281296","0.02396340132690966","0.02396340132690966","0.02396340132690966","0.05608931416645646","0.05608931416645646","0.05608931416645646","0.015721489093266428","0.015721489093266428","0.015721489093266428","0.04125418204057496","0.04125418204057496","0.04125418204057496","0.019262911839177832","0.019262911839177832","0.019262911839177832"
"6","0.01723676797701046","0.01723676797701046","0.01723676797701046","0.023870079952757806","0.023870079952757806","0.023870079952757806","0.05589063177467324","0.05589063177467324","0.05589063177467324","0.015097502036951482","0.015097502036951482","0.015097502036951482","0.04101655902923085","0.04101655902923085","0.04101655902923085","0.01919805617944803","0.01919805617944803","0.01919805617944803"
"7","0.017482088413089514","0.017482088413089514","0.017482088413089514","0.023918089893413708","0.023918089893413708","0.023918089893413708","0.05546817244612612","0.05546817244612612","0.05546817244612612","0.014819548232480884","0.014819548232480884","0.014819548232480884","0.04079308014479466","0.04079308014479466","0.04079308014479466","0.019108483611489646","0.019108483611489646","0.019108483611489646"
"8","0.017230184632353485","0.017230184632353485","0.017230184632353485","0.02394786693912465","0.02394786693912465","0.02394786693912465","0.05502611040719785","0.05502611040719785","0.05502611040719785","0.014734420052263886","0.014734420052263886","0.014734420052263886","0.04056938225403428","0.04056938225403428","0.04056938225403428","0.01899233995936811","0.01899233995936811","0.01899233995936811"
"9","0.01703890220960602","0.01703890220960602","0.01703890220960602","0.023862619273131713","0.023862619273131713","0.023862619273131713","0.054683110589394346","0.054683110589394346","0.054683110589394346","0.014750644681043923","0.014750644681043923","0.014750644681043923","0.040352369484025985","0.040352369484025985","0.040352369484025985","0.018901197792729363","0.018901197792729363","0.018901197792729363"
"10","0.016940051806159317","0.016940051806159317","0.016940051806159317","0.023713608796242625","0.023713608796242625","0.023713608796242625","0.0544131146161817","0.0544131146161817","0.0544131146161817","0.014828554936684668","0.014828554936684668","0.014828554936684668","0.040147274601622485","0.040147274601622485","0.040147274601622485","0.018848688108846545","0.018848688108846545","0.018848688108846545"
"11","0.016860956558957696","0.016860956558957696","0.016860956558957696","0.023398166114930063","0.023398166114930063","0.023398166114930063","0.054142004577443004","0.054142004577443004","0.054142004577443004","0.014950598124414682","0.014950598124414682","0.014950598124414682","0.03994694245920982","0.03994694245920982","0.03994694245920982","0.0188230956409825","0.0188230956409825","0.0188230956409825"
