"Step","stairs_pose_net_mobv3l - epoch/test_translation_loss","stairs_pose_net_mobv3l - epoch/test_translation_loss__MIN","stairs_pose_net_mobv3l - epoch/test_translation_loss__MAX","pumpkin_pose_net_mobv3l - epoch/test_translation_loss","pumpkin_pose_net_mobv3l - epoch/test_translation_loss__MIN","pumpkin_pose_net_mobv3l - epoch/test_translation_loss__MAX","office_pose_net_mobv3l - epoch/test_translation_loss","office_pose_net_mobv3l - epoch/test_translation_loss__MIN","office_pose_net_mobv3l - epoch/test_translation_loss__MAX","heads_pose_net_mobv3l - epoch/test_translation_loss","heads_pose_net_mobv3l - epoch/test_translation_loss__MIN","heads_pose_net_mobv3l - epoch/test_translation_loss__MAX","fire_pose_net_mobv3l - epoch/test_translation_loss","fire_pose_net_mobv3l - epoch/test_translation_loss__MIN","fire_pose_net_mobv3l - epoch/test_translation_loss__MAX","chess_pose_net_mobv3l - epoch/test_translation_loss","chess_pose_net_mobv3l - epoch/test_translation_loss__MIN","chess_pose_net_mobv3l - epoch/test_translation_loss__MAX"
"1","0.6708258613944054","0.6708258613944054","0.6708258613944054","0.6951172146946192","0.6951172146946192","0.6951172146946192","0.8525254307314754","0.8525254307314754","0.8525254307314754","0.1419417173601687","0.1419417173601687","0.1419417173601687","0.4785316460765898","0.4785316460765898","0.4785316460765898","0.4280659565702081","0.4280659565702081","0.4280659565702081"
"2","0.6502683199942112","0.6502683199942112","0.6502683199942112","0.6232725055888295","0.6232725055888295","0.6232725055888295","0.7304789265617728","0.7304789265617728","0.7304789265617728","0.15399615629576147","0.15399615629576147","0.15399615629576147","0.45695589762181044","0.45695589762181044","0.45695589762181044","0.3815353433601558","0.3815353433601558","0.3815353433601558"
"3","0.6394932754337788","0.6394932754337788","0.6394932754337788","0.5356136225163937","0.5356136225163937","0.5356136225163937","0.6145642851479352","0.6145642851479352","0.6145642851479352","0.1576070822775364","0.1576070822775364","0.1576070822775364","0.4371484788134694","0.4371484788134694","0.4371484788134694","0.35042364289984107","0.35042364289984107","0.35042364289984107"
"4","0.6371747590601444","0.6371747590601444","0.6371747590601444","0.5110230511054397","0.5110230511054397","0.5110230511054397","0.5471849800087512","0.5471849800087512","0.5471849800087512","0.15587003016844392","0.15587003016844392","0.15587003016844392","0.4197424170561135","0.4197424170561135","0.4197424170561135","0.3261775579303503","0.3261775579303503","0.3261775579303503"
"5","0.6279648020863533","0.6279648020863533","0.6279648020863533","0.4666427746415138","0.4666427746415138","0.4666427746415138","0.48276203824207187","0.48276203824207187","0.48276203824207187","0.1518922378309071","0.1518922378309071","0.1518922378309071","0.40046818647533655","0.40046818647533655","0.40046818647533655","0.30578649742528796","0.30578649742528796","0.30578649742528796"
"6","0.6141472943127155","0.6141472943127155","0.6141472943127155","0.43596216198056936","0.43596216198056936","0.43596216198056936","0.43332844506949186","0.43332844506949186","0.43332844506949186","0.1472522635012865","0.1472522635012865","0.1472522635012865","0.3789815946947783","0.3789815946947783","0.3789815946947783","0.28821546770632267","0.28821546770632267","0.28821546770632267"
"7","0.5689107049256563","0.5689107049256563","0.5689107049256563","0.42099095042794943","0.42099095042794943","0.42099095042794943","0.3901109085418284","0.3901109085418284","0.3901109085418284","0.1428549059201032","0.1428549059201032","0.1428549059201032","0.36788710835389793","0.36788710835389793","0.36788710835389793","0.27572570787742734","0.27572570787742734","0.27572570787742734"
"8","0.5529669169336557","0.5529669169336557","0.5529669169336557","0.40355210844427347","0.40355210844427347","0.40355210844427347","0.3639822492841631","0.3639822492841631","0.3639822492841631","0.13873381353914738","0.13873381353914738","0.13873381353914738","0.3593342697713524","0.3593342697713524","0.3593342697713524","0.2674453929066658","0.2674453929066658","0.2674453929066658"
"9","0.5615244954824448","0.5615244954824448","0.5615244954824448","0.34795873519033194","0.34795873519033194","0.34795873519033194","0.3455751561559737","0.3455751561559737","0.3455751561559737","0.1349421904888004","0.1349421904888004","0.1349421904888004","0.3517186183016747","0.3517186183016747","0.3517186183016747","0.2625034172087908","0.2625034172087908","0.2625034172087908"
"10","0.5632761716842651","0.5632761716842651","0.5632761716842651","0.32019114028662443","0.32019114028662443","0.32019114028662443","0.33583531179465353","0.33583531179465353","0.33583531179465353","0.13147027418017387","0.13147027418017387","0.13147027418017387","0.34264962188899517","0.34264962188899517","0.34264962188899517","0.2601955970749259","0.2601955970749259","0.2601955970749259"
"11","0.5581228472292423","0.5581228472292423","0.5581228472292423","0.3189221601933241","0.3189221601933241","0.3189221601933241","0.33305125473998487","0.33305125473998487","0.33305125473998487","0.12825539242476225","0.12825539242476225","0.12825539242476225","0.33380869589746","0.33380869589746","0.33380869589746","0.2576440693810582","0.2576440693810582","0.2576440693810582"
"12","0.5481786783784628","0.5481786783784628","0.5481786783784628","0.31562071526423097","0.31562071526423097","0.31562071526423097","0.32835473655723035","0.32835473655723035","0.32835473655723035","0.12542346236295998","0.12542346236295998","0.12542346236295998","0.3259563319152221","0.3259563319152221","0.3259563319152221","0.25434373412281275","0.25434373412281275","0.25434373412281275"
"13","0.5413580164313316","0.5413580164313316","0.5413580164313316","0.3107469752430916","0.3107469752430916","0.3107469752430916","0.32606076111551374","0.32606076111551374","0.32606076111551374","0.12284624855965376","0.12284624855965376","0.12284624855965376","0.3189481644658372","0.3189481644658372","0.3189481644658372","0.25128534995019436","0.25128534995019436","0.25128534995019436"
"14","0.5352091006934643","0.5352091006934643","0.5352091006934643","0.3055448313243687","0.3055448313243687","0.3055448313243687","0.32465919433161616","0.32465919433161616","0.32465919433161616","0.12073974730446935","0.12073974730446935","0.12073974730446935","0.3115950166247785","0.3115950166247785","0.3115950166247785","0.24865907058119774","0.24865907058119774","0.24865907058119774"
"15","0.5266825053840876","0.5266825053840876","0.5266825053840876","0.3002975541166961","0.3002975541166961","0.3002975541166961","0.32400031271390617","0.32400031271390617","0.32400031271390617","0.11906800884753466","0.11906800884753466","0.11906800884753466","0.3028806297807023","0.3028806297807023","0.3028806297807023","0.24654559697955847","0.24654559697955847","0.24654559697955847"
"16","0.5136861875653267","0.5136861875653267","0.5136861875653267","0.2957276152446866","0.2957276152446866","0.2957276152446866","0.3236669967882335","0.3236669967882335","0.3236669967882335","0.11770370579324663","0.11770370579324663","0.11770370579324663","0.29414657526649535","0.29414657526649535","0.29414657526649535","0.2450607307255268","0.2450607307255268","0.2450607307255268"
"17","0.49187824688851833","0.49187824688851833","0.49187824688851833","0.2915761014446616","0.2915761014446616","0.2915761014446616","0.3231826168484986","0.3231826168484986","0.3231826168484986","0.11650673393160105","0.11650673393160105","0.11650673393160105","0.28805026912596077","0.28805026912596077","0.28805026912596077","0.24389366526156664","0.24389366526156664","0.24389366526156664"
"18","0.47964200004935265","0.47964200004935265","0.47964200004935265","0.28842924861237407","0.28842924861237407","0.28842924861237407","0.3230860896874219","0.3230860896874219","0.3230860896874219","0.11555464821867645","0.11555464821867645","0.11555464821867645","0.28212039452046156","0.28212039452046156","0.28212039452046156","0.24282888788729906","0.24282888788729906","0.24282888788729906"
"19","0.4848954640328884","0.4848954640328884","0.4848954640328884","0.2853391570970416","0.2853391570970416","0.2853391570970416","0.3234896354842931","0.3234896354842931","0.3234896354842931","0.11473812256008387","0.11473812256008387","0.11473812256008387","0.2762613291852176","0.2762613291852176","0.2762613291852176","0.24202213622629642","0.24202213622629642","0.24202213622629642"
"20","0.49059242382645607","0.49059242382645607","0.49059242382645607","0.28303563268855214","0.28303563268855214","0.28303563268855214","0.32366099138744175","0.32366099138744175","0.32366099138744175","0.11400035116821527","0.11400035116821527","0.11400035116821527","0.27309995563700795","0.27309995563700795","0.27309995563700795","0.24149089772254229","0.24149089772254229","0.24149089772254229"
